,ME,R,measured_displacement,t,axis,dimension,filename,from,position,rsa_axis,to,true_displacement,displacement_error
39,0.0767872629783609,"[[0.9999980081430269, 0.001974100906657005, 0.000294339239300073], [-0.0019738915256246, 0.9999977998512805, -0.0007099611564610826], [-0.00029574012667251195, 0.0007093787485896695, 0.9999997046597401]]",356.9123057535834,"[0.3569123057535834, -0.016926997608550202, -0.007473033182912608]",x,0,delta x at isocenter.yaml,dx200,isocenter,Ant-Post,dx500,300.0,56.91230575358338
40,0.008591536127747058,"[[0.9999999581082682, 0.0002801355377968314, -7.285287973851637e-05], [-0.0002801294115615284, 0.9999999572284335, 8.408712329196065e-05], [7.287643241384168e-05, -8.406671153573985e-05, 0.9999999938109068]]",37.880708090085086,"[0.037880708090085084, -0.005574189980189358, 0.01155575270776816]",x,0,delta x at isocenter.yaml,dx250,isocenter,Ant-Post,dx300,50.0,-12.119291909914914
41,0.024098153960813423,"[[0.9999995942955883, 0.0006791009784071289, 0.0005918027709564164], [-0.0006789785582969876, 0.9999997480620728, -0.00020703600837931245], [-0.0005919432202143781, 0.00020663410299151427, 0.9999998034527667]]",88.22458032974114,"[0.08822458032974115, -0.0035026844837783484, 0.011105198365206497]",x,0,delta x at isocenter.yaml,dx250,isocenter,Ant-Post,dx350,100.0,-11.775419670258856
42,0.025070272783565908,"[[0.9999999100963425, 0.00040179005125393096, 0.0001355435742218473], [-0.00040178779414722196, 0.999999919144185, -1.6679079526252687e-05], [-0.00013555026475030145, 1.6624618273209538e-05, 0.999999990674874]]",146.39784074176578,"[0.1463978407417658, -0.005296692989386794, 0.018326275525420703]",x,0,delta x at isocenter.yaml,dx250,isocenter,Ant-Post,dx400,150.0,-3.6021592582342237
43,0.044795944059487856,"[[0.9999994858499145, 0.0006524542565673728, 0.0007762753063249935], [-0.0006522946180409913, 0.9999997660620978, -0.00020588220264525957], [-0.0007764094534441613, 0.0002053757365862137, 0.9999996775045319]]",209.63242982773366,"[0.20963242982773367, -0.008657177536663186, 0.00833240151477201]",x,0,delta x at isocenter.yaml,dx250,isocenter,Ant-Post,dx450,200.0,9.63242982773366
44,0.0649228373099744,"[[0.9999981596896439, 0.0019068544507318244, 0.0002110057568800874], [-0.0019067530354663423, 0.9999980670454134, -0.0004797898479726823], [-0.0002119202384223477, 0.00047938662914272104, 0.9999998626391268]]",291.5739063312692,"[0.2915739063312692, -0.013561444061746138, 0.007760702916491313]",x,0,delta x at isocenter.yaml,dx250,isocenter,Ant-Post,dx500,250.0,41.5739063312692
45,0.01985386123573312,"[[0.9999996993666154, 0.0003991301883406628, 0.0006648020548195037], [-0.0003989367146042687, 0.9999998780458895, -0.00029113176314322095], [-0.0006649181732191902, 0.00029086646167194696, 0.9999997366402277]]",50.32305163541752,"[0.05032305163541752, 0.0020760381267460755, -0.0004504759712814024]",x,0,delta x at isocenter.yaml,dx300,isocenter,Ant-Post,dx350,50.0,0.3230516354175208
46,0.019124596231821868,"[[0.9999999709739378, 0.00012115852064648547, 0.0002082612200221053], [-0.00012113753429409393, 0.9999999875846419, -0.00010077903247694564], [-0.00020827342767513739, 0.00010075380130059211, 0.9999999732354256]]",108.55532167519806,"[0.10855532167519806, 0.0002712420658324628, 0.006763732238216644]",x,0,delta x at isocenter.yaml,dx300,isocenter,Ant-Post,dx400,100.0,8.555321675198059
47,0.0397636327614116,"[[0.9999995701479347, 0.00037210900941145656, 0.0008492578105750533], [-0.0003718629080733858, 0.9999998888311574, -0.0002899235242981325], [-0.0008493655993195976, 0.0002896075921942721, 0.9999995973526792]]",171.7520718418756,"[0.1717520718418756, -0.003079297314631692, -0.0032268648424097364]",x,0,delta x at isocenter.yaml,dx300,isocenter,Ant-Post,dx450,150.0,21.75207184187559
48,0.06040862125224341,"[[0.9999986365306843, 0.0016267604727542577, 0.0002838787356874564], [-0.0016266001341481344, 0.999998517961602, -0.0005641334980963858], [-0.00028479602504427257, 0.0005636709717279001, 0.99999980058311]]",253.69124995700886,"[0.25369124995700887, -0.007977201846262216, -0.0037966165900879165]",x,0,delta x at isocenter.yaml,dx300,isocenter,Ant-Post,dx500,200.0,53.691249957008864
49,0.015496957987732232,"[[0.9999998571510353, -0.0002776322749033165, -0.000456747444998761], [0.0002777191519785189, 0.9999999433564404, 0.00019015569871686771], [0.00045669462576786743, -0.00019028251906661654, 0.9999998776112832]]",58.23321322540006,"[0.05823321322540006, -0.0018051817741461442, 0.007212779268056938]",x,0,delta x at isocenter.yaml,dx350,isocenter,Ant-Post,dx400,50.0,8.233213225400057
50,0.02478057996093195,"[[0.9999999826255205, -2.6836090301910133e-05, 0.0001844689230396857], [2.6835857580322402e-05, 0.9999999996391199, 1.2640520661784767e-06], [-0.00018446895689536305, -1.2591016621921272e-06, 0.9999999829848094]]",121.41682674250883,"[0.12141682674250884, -0.005147701490723681, -0.0027794446309193127]",x,0,delta x at isocenter.yaml,dx350,isocenter,Ant-Post,dx450,100.0,21.41682674250883
51,0.04873148477523088,"[[0.9999991731932003, 0.0012284355255290592, -0.0003802092517860487], [-0.0012285389308634553, 0.9999992083930048, -0.0002718555838031065], [0.0003798749937527097, 0.0002723224608988307, 0.9999998907677273]]",203.35480219051814,"[0.20335480219051813, -0.010038758359881078, -0.0033447960665528484]",x,0,delta x at isocenter.yaml,dx350,isocenter,Ant-Post,dx500,150.0,53.35480219051814
52,0.024489831923383637,"[[0.9999997632061899, 0.0002503873966556811, 0.0006410099190026355], [-0.00025026629230891695, 0.9999999508227667, -0.00018900065572656925], [-0.0006410572108616385, 0.00018884018779620577, 0.999999776692493]]",65.71818577124277,"[0.06571818577124278, -0.003727023127401252, -0.00908874590478348]",x,0,delta x at isocenter.yaml,dx400,isocenter,Ant-Post,dx450,50.0,15.718185771242773
